mandante,visitante,resultado,gols_mandante,gols_visitante
palmeiras,botafogo,empate,1,1
gremio,santos,empate,3,3
bragantino,atletico goianense,bragantino,2,0
corinthians,ceara,corinthians,2,1
goias,atletico mineiro,goias,1,0
bahia,fluminense,fluminense,0,1
fortaleza,coritiba,fortaleza,3,1
flamengo,vasco,flamengo,2,0
atletico pr,internacional,empate,0,0
botafogo,Sport,Sport,0,1
bahia,goias,empate,3,3
atletico goianense,santos,empate,1,1
bragantino,flamengo,empate,1,1
botafogo,gremio,gremio,2,5
internacional,Sport,Sport,1,2
fortaleza,vasco,fortaleza,3,0
sao paulo,ceara,empate,1,1
fluminense,atletico mineiro,empate,0,0
corinthians,atletico pr,empate,3,3
goias,botafogo,goias,2,0
atletico mineiro,bahia,empate,1,1
santos,coritiba,santos,2,0
flamengo,corinthians,flamengo,2,1
vasco,internacional,internacional,0,2
atletico pr,atletico goianense,atletico pr,2,1
palmeiras,fortaleza,palmeiras,3,0
gremio,sao paulo,sao paulo,1,2
ceara,fluminense,fluminense,1,3
Sport,bragantino,empate,0,0
santos,corinthians,santos,1,0
coritiba,palmeiras,coritiba,1,0
sao paulo,palmeiras,empate,1,1
coritiba,ceara,ceara,0,2
fortaleza,bahia,bahia,0,4
corinthians,vasco,empate,0,0
Sport,atletico mineiro,atletico mineiro,2,3
flamengo,internacional,flamengo,2,1
santos,fluminense,empate,1,1
gremio,atletico pr,gremio,1,0
goias,bragantino,empate,0,0
palmeiras,atletico goianense,empate,1,1
botafogo,sao paulo,botafogo,1,0
vasco,goias,vasco,3,2
bragantino,gremio,bragantino,1,0
bahia,santos,bahia,2,0
atletico pr,Sport,atletico pr,2,0
atletico goianense,coritiba,atletico goianense,3,1
ceara,botafogo,ceara,2,1
atletico mineiro,palmeiras,atletico mineiro,2,0
fluminense,fortaleza,fluminense,2,0
internacional,corinthians,empate,0,0
sao paulo,flamengo,sao paulo,2,1
Cuiaba,juventude,empate,2,2
bahia,santos,bahia,3,0
sao paulo,fluminense,empate,0,0
atletico mineiro,fortaleza,fortaleza,1,2
ceara,gremio,ceara,3,2
flamengo,palmeiras,flamengo,1,0
Chapecoense,bragantino,bragantino,0,3
corinthians,atletico goianense,atletico goianense,0,1
atletico pr,america mineiro,atletico pr,1,0
internacional,Sport,empate,2,2
atletico goianense,sao paulo,atletico goianense,2,0
santos,ceara,santos,3,1
bragantino,bahia,empate,3,3
fluminense,Cuiaba,fluminense,1,0
america mineiro,corinthians,corinthians,0,1
fortaleza,internacional,fortaleza,5,1
palmeiras,Chapecoense,palmeiras,3,1
juventude,atletico pr,atletico pr,0,3
Sport,atletico mineiro,atletico mineiro,0,1
santos,juventude,empate,0,0
palmeiras,corinthians,empate,1,1
atletico mineiro,sao paulo,atletico mineiro,1,0
gremio,atletico pr,atletico pr,0,1
flamengo,america mineiro,flamengo,2,0
fortaleza,Sport,fortaleza,1,0
Chapecoense,ceara,empate,0,0
bahia,internacional,internacional,0,1
bragantino,fluminense,empate,2,2
internacional,atletico mineiro,atletico mineiro,0,1
sao paulo,Chapecoense,empate,1,1
corinthians,bragantino,bragantino,1,2
juventude,palmeiras,palmeiras,0,3
ceara,bahia,bahia,1,2
america mineiro,Cuiaba,empate,0,0
atletico goianense,fortaleza,empate,0,0
fluminense,santos,fluminense,1,0
Sport,gremio,Sport,1,0
flamengo,bragantino,bragantino,2,3
palmeiras,america mineiro,palmeiras,2,1
bahia,corinthians,empate,0,0
internacional,ceara,empate,1,1
atletico pr,atletico goianense,atletico pr,2,1
fortaleza,fluminense,empate,1,1
santos,sao paulo,santos,2,0
juventude,Sport,juventude,1,0
atletico mineiro,Chapecoense,empate,1,1
sao paulo,Cuiaba,empate,2,2
flamengo,fortaleza,flamengo,2,1
bragantino,palmeiras,bragantino,3,1
atletico goianense,fluminense,atletico goianense,1,0
america mineiro,juventude,empate,1,1
corinthians,Sport,corinthians,2,1
Chapecoense,internacional,internacional,1,2
ceara,atletico mineiro,ceara,2,1
gremio,santos,empate,2,2
bahia,atletico pr,bahia,2,1
juventude,flamengo,juventude,1,0
fluminense,corinthians,empate,1,1
atletico pr,Chapecoense,empate,2,2
gremio,fortaleza,empate,0,0
palmeiras,bahia,palmeiras,3,2
santos,atletico mineiro,santos,2,0
america mineiro,internacional,empate,1,1
ceara,sao paulo,empate,1,1
Sport,Cuiaba,empate,0,0
atletico goianense,bragantino,bragantino,0,1
fluminense,atletico pr,atletico pr,1,4
fortaleza,Chapecoense,fortaleza,3,2
internacional,palmeiras,palmeiras,1,2
bahia,america mineiro,america mineiro,3,4
santos,Sport,empate,0,0
corinthians,sao paulo,empate,0,0
juventude,gremio,juventude,2,0
bragantino,ceara,empate,0,0
atletico mineiro,atletico goianense,atletico mineiro,4,1
Cuiaba,flamengo,flamengo,0,2
america mineiro,santos,america mineiro,2,0
atletico pr,fortaleza,atletico pr,2,1
corinthians,internacional,empate,1,1
Chapecoense,bahia,bahia,0,2
flamengo,fluminense,fluminense,0,1
Sport,palmeiras,palmeiras,0,1
sao paulo,bragantino,bragantino,1,2
ceara,juventude,ceara,2,0
Cuiaba,atletico mineiro,atletico mineiro,0,1
gremio,atletico goianense,atletico goianense,0,1
santos,atletico pr,santos,2,1
bahia,juventude,bahia,1,0
bragantino,Cuiaba,empate,1,1
fortaleza,america mineiro,fortaleza,4,0
palmeiras,gremio,palmeiras,2,0
atletico mineiro,flamengo,atletico mineiro,2,1
atletico goianense,Sport,empate,1,1
internacional,sao paulo,sao paulo,0,2
fluminense,ceara,empate,0,0
Chapecoense,corinthians,corinthians,0,1
palmeiras,santos,palmeiras,3,2
gremio,internacional,empate,0,0
atletico pr,bragantino,empate,2,2
sao paulo,bahia,sao paulo,1,0
Sport,fluminense,fluminense,1,2
america mineiro,atletico mineiro,atletico mineiro,0,1
juventude,atletico goianense,empate,1,1
Cuiaba,ceara,empate,2,2
flamengo,Chapecoense,flamengo,2,1
fortaleza,corinthians,fortaleza,1,0
ceara,atletico pr,ceara,1,0
sao paulo,fortaleza,fortaleza,0,1
corinthians,atletico mineiro,atletico mineiro,1,2
fluminense,gremio,gremio,0,1
Chapecoense,Cuiaba,Cuiaba,2,3
atletico goianense,palmeiras,palmeiras,0,3
bahia,flamengo,flamengo,0,5
bragantino,santos,empate,2,2
internacional,juventude,internacional,1,0
america mineiro,Sport,Sport,0,1
Cuiaba,atletico goianense,Cuiaba,2,1
gremio,america mineiro,empate,1,1
palmeiras,fluminense,palmeiras,1,0
atletico mineiro,bahia,atletico mineiro,3,0
flamengo,sao paulo,flamengo,5,1
fortaleza,bragantino,fortaleza,1,0
santos,atletico goianense,atletico goianense,0,1
atletico pr,internacional,atletico pr,2,1
Sport,ceara,empate,0,0
juventude,Chapecoense,juventude,1,0
Cuiaba,corinthians,corinthians,1,2
sao paulo,palmeiras,empate,0,0
internacional,Cuiaba,empate,0,0
bragantino,gremio,bragantino,1,0
corinthians,flamengo,flamengo,1,3
atletico mineiro,atletico pr,atletico mineiro,2,0
Chapecoense,santos,santos,0,1
bahia,Sport,Sport,0,1
atletico goianense,america mineiro,empate,1,1
ceara,fortaleza,ceara,3,1
Sport,bragantino,empate,0,0
atletico pr,sao paulo,sao paulo,1,2
palmeiras,fortaleza,fortaleza,2,3
Cuiaba,bahia,empate,1,1
santos,corinthians,empate,0,0
juventude,atletico mineiro,atletico mineiro,1,2
america mineiro,fluminense,america mineiro,1,0
ceara,atletico goianense,empate,0,0
flamengo,internacional,internacional,0,4
gremio,Chapecoense,gremio,2,1
bragantino,juventude,juventude,1,2
atletico mineiro,palmeiras,atletico mineiro,2,0
sao paulo,gremio,sao paulo,2,1
flamengo,Sport,flamengo,2,0
corinthians,ceara,corinthians,3,1
Cuiaba,atletico pr,Cuiaba,1,0
bahia,atletico goianense,atletico goianense,1,2
fortaleza,santos,empate,1,1
internacional,fluminense,internacional,4,2
Chapecoense,america mineiro,empate,1,1
Cuiaba,gremio,gremio,0,1
atletico goianense,Chapecoense,empate,1,1
gremio,bahia,gremio,2,0
juventude,fortaleza,empate,1,1
palmeiras,Cuiaba,Cuiaba,0,2
atletico pr,corinthians,corinthians,0,1
ceara,flamengo,empate,1,1
santos,internacional,empate,2,2
Sport,sao paulo,sao paulo,0,1
fluminense,atletico mineiro,empate,1,1
america mineiro,bragantino,bragantino,0,2
Sport,Chapecoense,empate,0,0
santos,flamengo,flamengo,0,4
gremio,corinthians,corinthians,0,1
palmeiras,atletico pr,palmeiras,2,1
america mineiro,ceara,america mineiro,2,0
juventude,sao paulo,empate,1,1
atletico goianense,internacional,empate,0,0
bragantino,atletico mineiro,empate,1,1
fluminense,bahia,fluminense,2,0
fortaleza,Cuiaba,empate,0,0
fluminense,juventude,empate,1,1
bahia,fortaleza,bahia,4,2
Cuiaba,santos,Cuiaba,2,1
atletico pr,Sport,empate,0,0
corinthians,juventude,empate,1,1
Chapecoense,fluminense,fluminense,1,2
america mineiro,atletico pr,america mineiro,2,0
juventude,Cuiaba,Cuiaba,1,2
bragantino,Chapecoense,Chapecoense,1,2
santos,bahia,empate,0,0
gremio,ceara,gremio,2,0
palmeiras,flamengo,flamengo,1,3
fortaleza,atletico mineiro,atletico mineiro,0,2
atletico goianense,corinthians,empate,1,1
fluminense,sao paulo,fluminense,2,1
Sport,internacional,internacional,0,1
Chapecoense,palmeiras,palmeiras,0,2
atletico pr,juventude,atletico pr,2,1
atletico mineiro,Sport,atletico mineiro,3,0
ceara,santos,empate,0,0
bahia,bragantino,empate,1,1
internacional,fortaleza,internacional,1,0
sao paulo,atletico goianense,sao paulo,2,1
corinthians,america mineiro,empate,1,1
flamengo,gremio,gremio,0,1
Cuiaba,fluminense,empate,2,2
sao paulo,america mineiro,empate,0,0
ceara,Chapecoense,ceara,1,0
corinthians,palmeiras,corinthians,2,1
sao paulo,atletico mineiro,empate,0,0
america mineiro,flamengo,empate,1,1
internacional,bahia,internacional,2,0
fluminense,bragantino,fluminense,2,1
juventude,santos,juventude,3,0
atletico pr,gremio,atletico pr,4,2
Sport,fortaleza,fortaleza,0,1
atletico goianense,Cuiaba,empate,0,0
Cuiaba,america mineiro,america mineiro,0,2
fortaleza,atletico goianense,atletico goianense,0,3
bragantino,corinthians,empate,2,2
atletico mineiro,internacional,atletico mineiro,1,0
flamengo,atletico pr,flamengo,3,0
Chapecoense,sao paulo,empate,1,1
palmeiras,juventude,empate,1,1
gremio,Sport,Sport,1,2
corinthians,bahia,corinthians,3,1
Chapecoense,atletico mineiro,empate,2,2
atletico goianense,atletico pr,atletico pr,0,2
Sport,juventude,Sport,3,1
ceara,internacional,empate,0,0
bragantino,flamengo,empate,1,1
gremio,Cuiaba,empate,2,2
fluminense,fortaleza,fortaleza,0,2
america mineiro,palmeiras,america mineiro,2,1
sao paulo,santos,empate,1,1
fluminense,atletico goianense,empate,0,0
atletico mineiro,ceara,atletico mineiro,3,1
Sport,corinthians,Sport,1,0
fortaleza,flamengo,flamengo,0,3
atletico pr,bahia,bahia,0,2
palmeiras,bragantino,bragantino,2,4
juventude,america mineiro,empate,1,1
internacional,Chapecoense,internacional,5,2
santos,gremio,santos,1,0
Cuiaba,sao paulo,empate,0,0
bragantino,atletico goianense,bragantino,1,0
bahia,palmeiras,empate,0,0
atletico mineiro,santos,atletico mineiro,3,1
Chapecoense,atletico pr,empate,1,1
flamengo,juventude,flamengo,3,1
fortaleza,gremio,fortaleza,1,0
corinthians,fluminense,corinthians,1,0
internacional,america mineiro,internacional,3,1
Cuiaba,Sport,Cuiaba,1,0
sao paulo,ceara,empate,1,1
Chapecoense,fortaleza,fortaleza,1,2
america mineiro,bahia,empate,0,0
atletico pr,fluminense,fluminense,0,1
palmeiras,internacional,palmeiras,1,0
ceara,bragantino,empate,2,2
gremio,juventude,gremio,3,2
atletico goianense,atletico mineiro,atletico goianense,2,1
Sport,santos,empate,0,0
flamengo,Cuiaba,empate,0,0
sao paulo,corinthians,sao paulo,1,0
ceara,palmeiras,palmeiras,1,2
internacional,bragantino,empate,1,1
santos,america mineiro,america mineiro,0,2
juventude,ceara,empate,0,0
fluminense,flamengo,fluminense,3,1
fortaleza,atletico pr,fortaleza,3,0
internacional,corinthians,empate,2,2
atletico mineiro,Cuiaba,atletico mineiro,2,1
bragantino,sao paulo,bragantino,1,0
bahia,Chapecoense,bahia,3,0
atletico goianense,gremio,atletico goianense,2,0
palmeiras,Sport,palmeiras,2,1
santos,fluminense,santos,2,0
bahia,ceara,empate,1,1
bragantino,Sport,bragantino,3,0
atletico pr,santos,santos,0,1
flamengo,atletico mineiro,flamengo,1,0
juventude,bahia,empate,0,0
america mineiro,fortaleza,america mineiro,2,1
gremio,palmeiras,palmeiras,1,3
ceara,fluminense,ceara,1,0
sao paulo,internacional,sao paulo,1,0
Sport,atletico goianense,Sport,2,0
Cuiaba,bragantino,Cuiaba,1,0
corinthians,Chapecoense,corinthians,1,0
atletico pr,flamengo,empate,2,2
atletico mineiro,gremio,atletico mineiro,2,1
Cuiaba,Chapecoense,empate,0,0
flamengo,atletico goianense,flamengo,2,0
corinthians,fortaleza,corinthians,1,0
internacional,gremio,internacional,1,0
fluminense,Sport,fluminense,1,0
santos,palmeiras,palmeiras,0,2
bragantino,atletico pr,atletico pr,0,2
atletico mineiro,america mineiro,atletico mineiro,1,0
bahia,sao paulo,bahia,1,0
ceara,Cuiaba,ceara,1,0
Chapecoense,flamengo,empate,2,2
gremio,fluminense,gremio,1,0
atletico pr,ceara,atletico pr,2,1
santos,bragantino,santos,2,0
atletico mineiro,corinthians,atletico mineiro,3,0
palmeiras,atletico goianense,palmeiras,4,0
juventude,internacional,juventude,2,1
fortaleza,sao paulo,empate,1,1
Sport,america mineiro,america mineiro,2,3
flamengo,bahia,flamengo,3,0
america mineiro,gremio,america mineiro,3,1
atletico goianense,santos,empate,0,0
bragantino,fortaleza,bragantino,3,0
internacional,atletico pr,internacional,2,1
corinthians,Cuiaba,corinthians,3,2
sao paulo,flamengo,flamengo,0,4
fluminense,palmeiras,fluminense,2,1
ceara,Sport,ceara,2,1
Chapecoense,juventude,juventude,0,2
atletico pr,atletico mineiro,atletico mineiro,0,1
gremio,bragantino,gremio,3,0
america mineiro,atletico goianense,empate,0,0
santos,Chapecoense,santos,2,0
Cuiaba,internacional,Cuiaba,1,0
fortaleza,ceara,ceara,0,4
palmeiras,sao paulo,sao paulo,0,2
juventude,fluminense,juventude,1,0
flamengo,corinthians,flamengo,1,0
Sport,bahia,Sport,1,0
atletico mineiro,juventude,atletico mineiro,2,0
Chapecoense,gremio,gremio,1,3
fortaleza,palmeiras,fortaleza,1,0
atletico goianense,ceara,empate,1,1
internacional,flamengo,flamengo,1,2
corinthians,santos,corinthians,2,0
fluminense,america mineiro,fluminense,2,0
bahia,Cuiaba,empate,0,0
gremio,flamengo,empate,2,2
atletico goianense,juventude,empate,1,1
palmeiras,atletico mineiro,empate,2,2
sao paulo,atletico pr,empate,0,0
fluminense,internacional,fluminense,1,0
santos,fortaleza,santos,2,0
ceara,corinthians,ceara,2,1
bahia,gremio,bahia,3,1
bragantino,america mineiro,empate,1,1
sao paulo,Sport,sao paulo,2,0
corinthians,atletico pr,corinthians,1,0
atletico mineiro,fluminense,atletico mineiro,2,1
internacional,santos,empate,1,1
atletico goianense,bahia,atletico goianense,2,1
juventude,bragantino,juventude,1,0
america mineiro,Chapecoense,america mineiro,3,0
flamengo,ceara,flamengo,2,1
Cuiaba,palmeiras,palmeiras,1,3
bahia,atletico mineiro,atletico mineiro,2,3
gremio,sao paulo,gremio,3,0
atletico pr,Cuiaba,atletico pr,1,0
Sport,flamengo,empate,1,1
Chapecoense,atletico goianense,atletico goianense,0,1
fortaleza,juventude,fortaleza,1,0
bahia,fluminense,bahia,2,0
atletico mineiro,bragantino,atletico mineiro,4,3
corinthians,gremio,empate,1,1
ceara,america mineiro,empate,0,0
atletico pr,palmeiras,empate,0,0
sao paulo,juventude,sao paulo,3,1
Cuiaba,fortaleza,Cuiaba,1,0
internacional,atletico goianense,atletico goianense,1,2
flamengo,santos,santos,0,1
Chapecoense,Sport,Sport,0,1
Sport,atletico pr,empate,1,1
fortaleza,bahia,fortaleza,2,1
atletico goianense,flamengo,atletico goianense,2,0
palmeiras,ceara,palmeiras,1,0
fluminense,Chapecoense,fluminense,3,0
america mineiro,sao paulo,america mineiro,2,0
bragantino,internacional,bragantino,1,0
juventude,corinthians,juventude,1,0
gremio,atletico mineiro,gremio,4,3
santos,Cuiaba,empate,1,1
fluminense,santos,empate,0,0
atletico goianense,flamengo,empate,1,1
palmeiras,ceara,ceara,2,3
coritiba,goias,coritiba,3,0
botafogo,corinthians,corinthians,1,3
atletico mineiro,internacional,atletico mineiro,2,0
fortaleza,Cuiaba,Cuiaba,0,1
Avai,america mineiro,Avai,1,0
sao paulo,atletico pr,sao paulo,4,0
juventude,bragantino,empate,2,2
goias,palmeiras,empate,1,1
corinthians,Avai,corinthians,3,0
america mineiro,juventude,america mineiro,4,1
Cuiaba,fluminense,fluminense,0,1
santos,coritiba,santos,2,1
flamengo,sao paulo,flamengo,3,1
atletico pr,atletico mineiro,atletico mineiro,0,1
internacional,fortaleza,internacional,2,1
bragantino,atletico goianense,bragantino,4,0
ceara,botafogo,botafogo,1,3
flamengo,palmeiras,empate,0,0
bragantino,sao paulo,empate,1,1
atletico pr,flamengo,atletico pr,1,0
palmeiras,corinthians,palmeiras,3,0
fluminense,internacional,internacional,0,1
atletico mineiro,coritiba,empate,2,2
santos,america mineiro,santos,3,0
juventude,Cuiaba,Cuiaba,0,1
atletico goianense,botafogo,empate,1,1
Avai,goias,Avai,3,2
america mineiro,atletico pr,america mineiro,1,0
ceara,bragantino,bragantino,0,1
goias,atletico mineiro,empate,2,2
Cuiaba,atletico goianense,empate,1,1
botafogo,juventude,empate,1,1
corinthians,fortaleza,corinthians,1,0
coritiba,fluminense,coritiba,3,2
internacional,Avai,empate,0,0
sao paulo,santos,sao paulo,2,1
atletico mineiro,america mineiro,america mineiro,1,2
atletico pr,ceara,atletico pr,1,0
flamengo,botafogo,botafogo,0,1
palmeiras,fluminense,empate,1,1
atletico goianense,goias,goias,0,1
bragantino,corinthians,corinthians,0,1
santos,Cuiaba,santos,4,1
fortaleza,sao paulo,empate,1,1
juventude,internacional,empate,1,1
Avai,coritiba,Avai,2,1
bragantino,atletico mineiro,empate,1,1
palmeiras,bragantino,palmeiras,2,0
ceara,flamengo,empate,2,2
atletico mineiro,atletico goianense,atletico mineiro,2,0
internacional,corinthians,empate,2,2
fluminense,atletico pr,fluminense,2,1
sao paulo,Cuiaba,sao paulo,2,1
coritiba,america mineiro,coritiba,1,0
botafogo,fortaleza,botafogo,3,1
Avai,juventude,juventude,1,2
goias,santos,goias,1,0
atletico goianense,coritiba,atletico goianense,2,0
flamengo,goias,flamengo,1,0
santos,ceara,empate,0,0
juventude,palmeiras,palmeiras,0,3
Cuiaba,internacional,empate,1,1
america mineiro,botafogo,empate,1,1
fortaleza,fluminense,fluminense,0,1
corinthians,sao paulo,empate,1,1
atletico pr,Avai,atletico pr,2,1
goias,bragantino,empate,1,1
sao paulo,ceara,empate,2,2
fortaleza,juventude,empate,1,1
santos,palmeiras,palmeiras,0,1
coritiba,botafogo,coritiba,1,0
Cuiaba,atletico pr,atletico pr,0,1
corinthians,america mineiro,empate,1,1
fluminense,flamengo,flamengo,1,2
atletico mineiro,Avai,atletico mineiro,2,1
internacional,atletico goianense,empate,1,1
fortaleza,ceara,ceara,0,1
america mineiro,Cuiaba,america mineiro,2,1
ceara,coritiba,empate,1,1
atletico pr,santos,empate,2,2
Avai,sao paulo,empate,1,1
atletico goianense,corinthians,corinthians,0,1
juventude,fluminense,juventude,1,0
flamengo,fortaleza,fortaleza,1,2
palmeiras,atletico mineiro,empate,0,0
bragantino,internacional,internacional,0,2
botafogo,goias,goias,1,2
Cuiaba,corinthians,Cuiaba,1,0
america mineiro,ceara,ceara,0,2
juventude,atletico pr,atletico pr,1,3
atletico goianense,Avai,atletico goianense,2,1
bragantino,flamengo,bragantino,1,0
fluminense,atletico mineiro,fluminense,5,3
santos,internacional,empate,1,1
palmeiras,botafogo,palmeiras,4,0
coritiba,sao paulo,empate,1,1
fortaleza,goias,empate,1,1
corinthians,juventude,corinthians,2,0
atletico mineiro,santos,empate,1,1
Cuiaba,bragantino,empate,1,1
fluminense,atletico goianense,atletico goianense,0,2
internacional,flamengo,internacional,3,1
goias,ceara,empate,1,1
sao paulo,america mineiro,sao paulo,1,0
coritiba,palmeiras,palmeiras,0,2
fortaleza,atletico pr,empate,0,0
botafogo,Avai,Avai,0,1
juventude,santos,santos,1,2
ceara,atletico mineiro,empate,0,0
bragantino,coritiba,bragantino,4,2
goias,internacional,internacional,1,2
flamengo,Cuiaba,flamengo,2,0
america mineiro,fluminense,empate,0,0
atletico pr,corinthians,empate,1,1
botafogo,sao paulo,botafogo,1,0
palmeiras,atletico goianense,palmeiras,4,2
Avai,fortaleza,Avai,3,2
Cuiaba,ceara,empate,0,0
santos,bragantino,empate,2,2
atletico mineiro,flamengo,atletico mineiro,2,0
coritiba,atletico pr,atletico pr,0,1
corinthians,goias,corinthians,1,0
internacional,botafogo,botafogo,2,3
fortaleza,america mineiro,fortaleza,1,0
atletico goianense,juventude,atletico goianense,3,1
fluminense,Avai,fluminense,2,0
sao paulo,palmeiras,palmeiras,1,2
internacional,coritiba,internacional,3,0
atletico pr,bragantino,atletico pr,4,2
flamengo,america mineiro,flamengo,3,0
corinthians,santos,empate,0,0
atletico mineiro,fortaleza,atletico mineiro,3,2
Avai,palmeiras,empate,2,2
botafogo,fluminense,fluminense,0,1
goias,Cuiaba,goias,1,0
ceara,atletico goianense,empate,1,1
sao paulo,juventude,empate,0,0
juventude,atletico mineiro,atletico mineiro,1,2
fluminense,corinthians,fluminense,4,0
santos,flamengo,flamengo,1,2
ceara,internacional,empate,1,1
palmeiras,atletico pr,atletico pr,0,2
Avai,Cuiaba,Cuiaba,1,2
atletico goianense,sao paulo,sao paulo,1,2
america mineiro,goias,america mineiro,1,0
coritiba,fortaleza,coritiba,2,1
bragantino,botafogo,botafogo,0,1
bragantino,Avai,bragantino,4,0
fluminense,ceara,fluminense,2,1
goias,atletico pr,goias,2,1
coritiba,juventude,empate,2,2
corinthians,flamengo,corinthians,1,0
fortaleza,palmeiras,empate,0,0
atletico mineiro,sao paulo,empate,0,0
santos,atletico goianense,santos,1,0
Cuiaba,botafogo,Cuiaba,2,0
internacional,america mineiro,internacional,1,0
atletico pr,internacional,empate,0,0
flamengo,coritiba,flamengo,2,0
Avai,santos,Avai,1,0
ceara,corinthians,ceara,3,1
juventude,goias,empate,0,0
sao paulo,fluminense,empate,2,2
atletico goianense,fortaleza,fortaleza,0,1
botafogo,atletico mineiro,atletico mineiro,0,1
america mineiro,bragantino,bragantino,0,3
palmeiras,Cuiaba,palmeiras,1,0
ceara,Avai,ceara,1,0
goias,fluminense,fluminense,2,3
bragantino,fortaleza,bragantino,2,1
atletico pr,atletico goianense,atletico pr,4,1
flamengo,juventude,flamengo,4,0
internacional,sao paulo,empate,3,3
santos,botafogo,santos,2,0
corinthians,coritiba,corinthians,3,1
Cuiaba,atletico mineiro,empate,1,1
america mineiro,palmeiras,palmeiras,0,1
sao paulo,goias,empate,3,3
botafogo,atletico pr,botafogo,2,0
Avai,flamengo,flamengo,1,2
palmeiras,internacional,palmeiras,2,1
juventude,ceara,juventude,1,0
fluminense,bragantino,fluminense,2,1
atletico goianense,america mineiro,america mineiro,0,1
atletico mineiro,corinthians,corinthians,1,2
fortaleza,santos,empate,0,0
coritiba,Cuiaba,coritiba,1,0
goias,coritiba,goias,1,0
ceara,palmeiras,palmeiras,1,2
corinthians,botafogo,corinthians,1,0
flamengo,atletico goianense,flamengo,4,1
internacional,atletico mineiro,internacional,3,0
atletico pr,sao paulo,atletico pr,1,0
Cuiaba,fortaleza,fortaleza,0,1
america mineiro,Avai,america mineiro,3,1
bragantino,juventude,bragantino,1,0
santos,fluminense,empate,2,2
juventude,america mineiro,america mineiro,0,1
botafogo,ceara,empate,1,1
atletico goianense,bragantino,atletico goianense,2,1
Avai,corinthians,empate,1,1
sao paulo,flamengo,flamengo,0,2
fluminense,Cuiaba,fluminense,1,0
palmeiras,goias,palmeiras,3,0
fortaleza,internacional,fortaleza,3,0
atletico mineiro,atletico pr,atletico pr,2,3
coritiba,santos,santos,1,2
goias,Avai,empate,1,1
corinthians,palmeiras,palmeiras,0,1
Cuiaba,juventude,Cuiaba,1,0
botafogo,atletico goianense,empate,0,0
coritiba,atletico mineiro,atletico mineiro,0,1
ceara,fortaleza,fortaleza,0,1
flamengo,atletico pr,flamengo,5,0
sao paulo,bragantino,sao paulo,3,0
america mineiro,santos,america mineiro,1,0
internacional,fluminense,internacional,3,0
atletico mineiro,goias,goias,0,1
fluminense,coritiba,fluminense,5,2
juventude,botafogo,empate,2,2
palmeiras,flamengo,empate,1,1
atletico pr,america mineiro,empate,1,1
atletico goianense,Cuiaba,empate,1,1
fortaleza,corinthians,fortaleza,1,0
bragantino,ceara,empate,1,1
santos,sao paulo,santos,1,0
Avai,internacional,internacional,0,1
goias,atletico goianense,goias,2,1
coritiba,Avai,coritiba,1,0
fluminense,palmeiras,empate,1,1
ceara,atletico pr,empate,0,0
america mineiro,atletico mineiro,empate,1,1
sao paulo,fortaleza,fortaleza,0,1
botafogo,flamengo,flamengo,0,1
Cuiaba,santos,empate,0,0
internacional,juventude,internacional,4,0
corinthians,bragantino,corinthians,1,0
juventude,Avai,empate,1,1
bragantino,palmeiras,empate,2,2
atletico pr,fluminense,atletico pr,1,0
america mineiro,coritiba,america mineiro,2,0
flamengo,ceara,empate,1,1
corinthians,internacional,empate,2,2
fortaleza,botafogo,botafogo,1,3
atletico goianense,atletico mineiro,atletico mineiro,0,2
Cuiaba,sao paulo,empate,1,1
santos,goias,goias,1,2
atletico mineiro,bragantino,empate,1,1
ceara,santos,ceara,2,1
internacional,Cuiaba,internacional,1,0
fluminense,fortaleza,fluminense,2,1
palmeiras,juventude,palmeiras,2,1
Avai,atletico pr,empate,1,1
botafogo,america mineiro,empate,0,0
coritiba,atletico goianense,coritiba,2,0
sao paulo,corinthians,empate,1,1
goias,flamengo,empate,1,1
Avai,atletico mineiro,Avai,1,0
botafogo,coritiba,botafogo,2,0
bragantino,goias,empate,1,1
ceara,sao paulo,sao paulo,0,2
flamengo,fluminense,fluminense,1,2
juventude,fortaleza,empate,1,1
america mineiro,corinthians,america mineiro,1,0
palmeiras,santos,palmeiras,1,0
atletico pr,Cuiaba,empate,2,2
atletico goianense,internacional,internacional,1,2
sao paulo,Avai,sao paulo,4,0
santos,atletico pr,santos,2,0
fortaleza,flamengo,fortaleza,3,2
corinthians,atletico goianense,corinthians,2,1
fluminense,juventude,fluminense,4,0
coritiba,ceara,coritiba,1,0
Cuiaba,america mineiro,Cuiaba,2,1
goias,botafogo,botafogo,0,1
internacional,bragantino,empate,0,0
atletico mineiro,palmeiras,palmeiras,0,1
atletico mineiro,fluminense,atletico mineiro,2,0
ceara,america mineiro,america mineiro,1,2
internacional,santos,internacional,1,0
Avai,atletico goianense,atletico goianense,1,2
atletico pr,juventude,atletico pr,2,0
flamengo,bragantino,flamengo,4,1
goias,fortaleza,fortaleza,0,1
corinthians,Cuiaba,corinthians,2,0
botafogo,palmeiras,palmeiras,1,3
juventude,corinthians,empate,2,2
atletico goianense,fluminense,atletico goianense,3,2
ceara,goias,empate,1,1
bragantino,Cuiaba,bragantino,2,1
atletico pr,fortaleza,empate,1,1
flamengo,internacional,empate,0,0
santos,atletico mineiro,atletico mineiro,1,2
palmeiras,coritiba,palmeiras,4,0
Avai,botafogo,botafogo,1,2
america mineiro,sao paulo,sao paulo,1,2
